Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0530971491111352,-0.181552944439544,-0.246568639926266,0,0,0,0.293651530893789,0.000568046016400762,6.90943148326391E-06,1.42837012826497E-06,0.000571559213356223,-1.31743193708887E-06,0.00103032274010665,0,0,0,0,0,0,package://SuArmT/meshes/base_link.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://SuArmT/meshes/base_link.STL,,底座-1;舵机-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
01,0.00265846356424784,-0.00133215884626428,0.0272481546974579,0,0,0,0.189438986392115,0.000113431869552128,-5.64451862518995E-06,2.49559438919189E-06,0.0001107268395118,6.17366165756936E-06,0.000119492587982596,0,0,0,0,0,0,package://SuArmT/meshes/01.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://SuArmT/meshes/01.STL,,旋转底座-1;舵机-2;舵机-4,OXY1,O1,01,revolute,-0.0571064065866175,-0.180872363273024,-0.220242791058023,0,0,2.83197511584815,base_link,0,0,1,0,0,0,0,,,,,,,,
02,0.0115047248501354,-0.00810709798750053,0.051589588786128,0,0,0,0.111576084638764,0.000234483161114486,-8.57451004887965E-07,6.29463949966311E-06,0.00023331811204117,-8.92179194748288E-06,3.04539911034034E-05,0,0,0,0,0,0,package://SuArmT/meshes/02.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://SuArmT/meshes/02.STL,,BC连杆-1,OXY2,O2,02,revolute,-0.00338008664788971,0.0067820705615555,0.0460000000000001,0,0,0,01,0,-1,0,0,0,0,0,,,,,,,,
03,0.0403125325245319,0.00153563322820774,-0.0081567935813986,0,0,0,0.0550849242755392,6.3486228520809E-05,6.15236365966553E-06,7.22353558112642E-05,0.000183226293872354,-2.72290368246727E-06,0.000138238474076084,0,0,0,0,0,0,package://SuArmT/meshes/03.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://SuArmT/meshes/03.STL,,CD连杆-1,OXY3,O3,03,revolute,0.0108480193677558,-0.00545917430644105,0.134996351042998,0,0.111242962039174,0,02,0,-1,0,0,0,0,0,,,,,,,,
04,0.0301276790093809,-8.91923334647715E-06,0.0189630827351482,0,0,0,0.0402531816879038,1.228558445044E-05,-9.50822319460619E-09,-5.38433194630375E-06,2.65878521080658E-05,9.14433319238472E-10,2.27541238022531E-05,0,0,0,0,0,0,package://SuArmT/meshes/04.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://SuArmT/meshes/04.STL,,夹爪支架（大）da-1,OXY4,O4,04,revolute,0.126298015351435,-0.000799999999999051,-0.0712306908452539,0,0.409886167684167,0,03,0,-1,0,0,0,0,0,,,,,,,,
05,2.77555756156289E-17,-2.77555756156289E-17,0.00500000000000002,0,0,0,0.0153521070888643,2.24974194990283E-06,-1.42936809849163E-21,1.29040175558272E-21,2.24974194990283E-06,-4.2351647362715E-21,4.24361544832459E-06,0,0,0,0,0,0,package://SuArmT/meshes/05.STL,1,0.949019607843137,0.909803921568627,1,0,0,0,0,0,0,package://SuArmT/meshes/05.STL,,spur gear_gb-3,ZHUA0,OZ0,05,revolute,0.0549809608824896,0,-0.00506114079786674,0,-0.172063279324397,0,04,0,0,-1,0,0,0,0,,,,,,,,
06,0.0138852347763508,0.0151916879325929,0.00635485339552659,0,0,0,0.00878748583243155,4.72138799965583E-06,-2.80323111635487E-06,1.85740267317673E-07,2.42028724397618E-06,3.46298383727567E-07,6.81316188714295E-06,0,0,0,0,0,0,package://SuArmT/meshes/06.STL,1,0.949019607843137,0.909803921568627,1,0,0,0,0,0,0,package://SuArmT/meshes/06.STL,,齿轮抓夹（上）1.1-3,ZHUA1,OZ1,06,revolute,0.0226604478767277,0.0139999999999982,-0.0163617842079428,0.00790172500636039,-0.171883538862549,-0.0461666685391416,04,0,0,1,0,0,0,0,,,,,,,,
07,0.019123424392596,-0.0177235877465371,0.00457621875695141,0,0,0,0.00647217744856026,3.10871255703172E-06,2.58386188181312E-06,7.69744545540528E-08,2.62710925450106E-06,-7.75789243970793E-08,5.60892692551295E-06,0,0,0,0,0,0,package://SuArmT/meshes/07.STL,1,0.949019607843137,0.909803921568627,1,0,0,0,0,0,0,package://SuArmT/meshes/07.STL,,齿轮抓夹（下）-2,ZHUA2,OZ2,07,revolute,0.0227460556388097,-0.0139999999999925,-0.0168544010073608,0.0079017250063604,-0.171883538862555,-0.0461666685391416,04,0,0,-1,0,0,0,0,,,,,,,,
