series,total_energy_wh,peak_power_w,mean_power_w,power_cv,spike_count,unit_task_energy_wh,estimated_carbon_kg,energy_saving_rate_pct,carbon_reduction_rate_pct
本机-优化前,6.151825744602875,56.815382546432694,36.91095446761725,0.1325931528710021,10.875,6.151825744602875,0.003223556690171907,0.0,0.0
本机-优化后,4.4495037669892525,41.426902647810195,26.697022601935515,0.1309963194539588,5.125,4.4495037669892525,0.002331539973902368,27.67181725046593,27.671817250465942
同类机械臂A,5.620354883384087,50.375433370602295,33.722129300304516,0.1293931316982487,9.5,5.620354883384087,0.002945065958893262,8.639237899172597,8.639237899172594
同类机械臂B,6.48589527322464,57.105302405052214,38.91537163934784,0.1293060134734586,11.75,6.48589527322464,0.0033986091231697118,-5.430412734217181,-5.430412734217175
